state,room_id,name,city,person_cap,bedrooms,bathrooms,amenities,reviews,prop_type,guests,star,avg_rating,min_nights,max_nights,price
Alabama,26303701,Beachfront on Orange Beach- Winter discount rates.,Orange Beach,6,1,1.0,,49,Entire condominium,6 guests,5.0,4.84,3,1125,69.0
Alabama,10759816,Stunning Boat House!!!!!!,Dadeville,2,1,2.5,,85,Entire cabin,2 guests,4.5,4.63,2,1125,150.0
Alabama,21814249,The Beach Club 6th floor condo with stunning views,Gulf Shores,4,3,2.0,,99,Entire condominium,4 guests,5.0,4.98,2,1125,95.0
Alabama,14075339,2 Minute Walk to the Beach!!! Pup Friendly! #30,Gulf Shores,6,3,1.0,,89,Entire villa,6 guests,5.0,4.85,1,91,113.0
Alabama,14854343,Adorable &amp; Affordable ☀️ Gulf Shores Getaway!,Gulf Shores,6,3,2.0,,100,Entire condominium,6 guests,5.0,4.91,3,150,50.0
Alabama,14854343,Adorable &amp; Affordable ☀️ Gulf Shores Getaway!,Gulf Shores,6,3,2.0,,100,Entire condominium,6 guests,5.0,4.91,3,150,50.0
Alabama,11656659,"Simple, quiet room central of West Mobile!",Mobile,3,1,1.0,,150,Private room in apartment,3 guests,5.0,4.85,1,40,27.0
Alabama,18805590,"Blue Crab 2,Sleeps 10,Gulf View, Beach Access,Pool",Gulf Shores,10,4,3.0,,70,Entire house,10 guests,5.0,4.94,3,1125,63.0
Alabama,15585525,Cottage on Mobile Bay CLOSE TO DOWNTOWN,Mobile,8,5,1.5,,130,Entire house,8 guests,5.0,4.96,2,365,150.0
Alabama,1346105,Lake Shore Cabin-sleeps 6,Guntersville,6,4,2.0,,72,Entire guest suite,6 guests,5.0,4.96,2,40,175.0
Alabama,5004495,Room &amp; private bath/near UAB,Birmingham,2,1,1.0,,354,Private room in house,2 guests,4.5,4.72,1,60,40.0
Alabama,27366865,Gulf Front 2/2~Flash Sale~Book Now,Orange Beach,8,3,2.0,,22,Entire condominium,8 guests,5.0,4.76,1,15,60.0
Alabama,5918705,Walk to the water!!,Orange Beach,2,1,1.0,,133,Private room in house,2 guests,5.0,4.83,2,1124,75.0
Alabama,16790740,LIGHTHOUSE 509 - BEACHFRONT WITH VIEWS!,Gulf Shores,7,4,2.0,,54,Entire condominium,7 guests,5.0,4.85,1,1125,80.0
Alabama,25419956,Gorgeous view! Direct beach front.,Gulf Shores,6,1,1.5,,40,Entire condominium,6 guests,5.0,4.98,2,1125,125.0
Alabama,27289397,"Downtown Art &amp; Eclectic ""B""",Mobile,3,1,1.0,,117,Entire apartment,3 guests,5.0,4.97,1,60,110.0
Alabama,32167360,The Salt Life - Beach Condo!,Gulf Shores,6,3,1.0,,62,Entire condominium,6 guests,5.0,4.76,1,1125,15.0
Alabama,18360801,Beach Cottage Retreat Flanked By Wildlife Refuge,Gulf Shores,10,7,2.0,,53,Entire cottage,10 guests,5.0,4.87,2,1125,95.0
Alabama,19923895,Beautiful Home with Ocean Views and Private Beach,Gulf Shores,11,8,2.5,,84,Entire house,11 guests,5.0,4.8,2,1125,110.0
Alabama,5971278,Oceanfront Phoenix VI 2/2,Orange Beach,8,4,2.0,,103,Entire apartment,8 guests,5.0,4.87,1,1125,79.0
Alabama,25935566,3 BR Pet Friendly Home across the street from beach!,Gulf Shores,11,7,2.0,,27,Entire house,11 guests,5.0,4.81,1,365,135.0
Alabama,23244040,The Lodge at Sugar Beach,Orange Beach,9,6,2.0,,90,Entire condominium,9 guests,5.0,4.88,1,28,73.0
